system:index,VIIRS_NTL,date,station_id,.geo
16_3_0,36.94966506958008,2023-01-17,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
16_4_0,50.65571975708008,2023-01-17,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
16_5_0,76.34797668457031,2023-01-17,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
16_6_0,41.746482849121094,2023-01-17,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
16_7_0,65.0400390625,2023-01-17,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
17_0_0,74.27564239501953,2023-01-18,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
17_1_0,48.11775588989258,2023-01-18,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
17_2_0,36.5793571472168,2023-01-18,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
17_3_0,36.94966506958008,2023-01-18,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
17_4_0,50.65571975708008,2023-01-18,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
17_5_0,76.34797668457031,2023-01-18,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
17_6_0,41.746482849121094,2023-01-18,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
17_7_0,65.0400390625,2023-01-18,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
18_0_0,74.27564239501953,2023-01-19,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
18_1_0,48.11775588989258,2023-01-19,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
18_2_0,36.5793571472168,2023-01-19,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
18_3_0,36.94966506958008,2023-01-19,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
18_4_0,50.65571975708008,2023-01-19,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
18_5_0,76.34797668457031,2023-01-19,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
18_6_0,41.746482849121094,2023-01-19,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
18_7_0,65.0400390625,2023-01-19,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
19_0_0,74.27564239501953,2023-01-20,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
19_1_0,48.11775588989258,2023-01-20,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
19_2_0,36.5793571472168,2023-01-20,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
19_3_0,36.94966506958008,2023-01-20,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
19_4_0,50.65571975708008,2023-01-20,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
19_5_0,76.34797668457031,2023-01-20,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
19_6_0,41.746482849121094,2023-01-20,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
19_7_0,65.0400390625,2023-01-20,US_Consulate_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.838882528545,-6.182654942952607]}"
20_0_0,74.27564239501953,2023-01-21,Bundaran_Hotel_Indonesia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8254077992832,-6.191638095793802]}"
20_1_0,48.11775588989258,2023-01-21,Jagakarsa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8298993757038,-6.1557054844290215]}"
20_2_0,36.5793571472168,2023-01-21,Jalan_BDN_II,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79845834075962,-6.281469624205754]}"
20_3_0,36.94966506958008,2023-01-21,Kebon_Jeruk,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77150888223603,-6.200621248634997]}"
20_4_0,50.65571975708008,2023-01-21,Kelapa_Gading,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90625617485397,-6.1557054844290215]}"
20_5_0,76.34797668457031,2023-01-21,Komp_Angkasa_Pura_Jakarta_Pusat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84337410496559,-6.151213908008423]}"
20_6_0,41.746482849121094,2023-01-21,Lubang_Buaya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89727302201277,-6.303927506308742]}"
