system:index,dummy,lat,lon,modis_aod_047,.geo
79_0,1,-6.301681718098443,106.78722939970812,401.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.301681718098443]}"
80_0,1,-6.301681718098443,106.79621255254932,413.1666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.301681718098443]}"
81_0,1,-6.301681718098443,106.80519570539052,419.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.301681718098443]}"
82_0,1,-6.301681718098443,106.81417885823171,410.42857142857144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.301681718098443]}"
83_0,1,-6.301681718098443,106.82316201107291,403.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.301681718098443]}"
84_0,1,-6.301681718098443,106.83214516391409,395.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.301681718098443]}"
85_0,1,-6.301681718098443,106.84112831675529,398.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.301681718098443]}"
86_0,1,-6.301681718098443,106.85011146959648,394.1666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.301681718098443]}"
87_0,1,-6.301681718098443,106.85909462243768,401.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.301681718098443]}"
88_0,1,-6.301681718098443,106.86807777527888,410.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.301681718098443]}"
89_0,1,-6.301681718098443,106.87706092812007,403.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.301681718098443]}"
90_0,1,-6.301681718098443,106.88604408096127,411.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.301681718098443]}"
91_0,1,-6.301681718098443,106.89502723380247,411.22222222222223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.301681718098443]}"
92_0,1,-6.301681718098443,106.90401038664366,428.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.301681718098443]}"
93_0,1,-6.301681718098443,106.91299353948486,443.25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.301681718098443]}"
94_0,1,-6.292698565257249,106.76926309402573,426.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.292698565257249]}"
95_0,1,-6.292698565257249,106.77824624686693,412.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.292698565257249]}"
96_0,1,-6.292698565257249,106.78722939970812,411.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.292698565257249]}"
97_0,1,-6.292698565257249,106.79621255254932,421.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.292698565257249]}"
98_0,1,-6.292698565257249,106.80519570539052,411.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.292698565257249]}"
