system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
180_0,1,-6.247782801051272,106.75129678834334,0.03575435619529665,1.1022607422729751E-4,0.11581074123543268,-4.775551637325082E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.75129678834334,-6.247782801051272]}"
181_0,1,-6.247782801051272,106.76027994118454,0.03579126404475137,1.1683801130866907E-4,0.115926820905724,-3.2440838955445114E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76027994118454,-6.247782801051272]}"
182_0,1,-6.247782801051272,106.76926309402573,0.03579126404475137,1.1683801130866907E-4,0.115926820905724,-3.2440838955445114E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.76926309402573,-6.247782801051272]}"
183_0,1,-6.247782801051272,106.77824624686693,0.03590341643116878,1.1765456390744106E-4,0.11587949471648412,4.095321574713244E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.77824624686693,-6.247782801051272]}"
184_0,1,-6.247782801051272,106.78722939970812,0.035459334006304376,1.2094294987625271E-4,0.11597829308068655,9.186791322663083E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.78722939970812,-6.247782801051272]}"
185_0,1,-6.247782801051272,106.79621255254932,0.035704351878163565,1.2396622327405757E-4,0.115836457170264,2.605614743460681E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.247782801051272]}"
186_0,1,-6.247782801051272,106.80519570539052,0.03549028154190077,1.2750190702104114E-4,0.11588548786410771,-1.931644848034517E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.247782801051272]}"
187_0,1,-6.247782801051272,106.81417885823171,0.035598553717165596,1.2750190702122234E-4,0.11578516155441763,-3.280689816167943E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.247782801051272]}"
188_0,1,-6.247782801051272,106.82316201107291,0.03598813034641937,1.2750190702104114E-4,0.11580685620472249,-6.39096964586388E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.247782801051272]}"
189_0,1,-6.247782801051272,106.83214516391409,0.035264133853884286,1.1848115644638896E-4,0.11578852781491134,-1.3575184545623911E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.247782801051272]}"
190_0,1,-6.247782801051272,106.84112831675529,0.03525459623103215,1.1220732752516444E-4,0.11602085863861067,1.0665583290407975E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.247782801051272]}"
191_0,1,-6.247782801051272,106.85011146959648,0.03536953945431677,1.0723636387316972E-4,0.11584607676173767,6.740927668198551E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.247782801051272]}"
192_0,1,-6.247782801051272,106.85909462243768,0.03536953945431677,1.0723636387316972E-4,0.11584607676173767,6.740927668198551E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.247782801051272]}"
193_0,1,-6.247782801051272,106.86807777527888,0.03524861945093217,1.0953365926997785E-4,0.11589382273527733,9.967068399435223E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.247782801051272]}"
194_0,1,-6.247782801051272,106.87706092812007,0.0352362274798286,1.0905141506164587E-4,0.11591878197365349,6.365597547202871E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.247782801051272]}"
195_0,1,-6.247782801051272,106.88604408096127,0.035254074260649575,1.0706501546981937E-4,0.11602315604705535,9.324658458369057E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.247782801051272]}"
196_0,1,-6.247782801051272,106.89502723380247,0.035228289882605714,1.0412901394222898E-4,0.11603986443389086,6.371933697776159E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.247782801051272]}"
197_0,1,-6.247782801051272,106.90401038664366,0.03524963371450736,9.678793681702194E-5,0.11602090624049947,6.371933751088461E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.247782801051272]}"
198_0,1,-6.247782801051272,106.91299353948486,0.03496235795324744,9.429386132386038E-5,0.11596866145729162,9.843872831994657E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.247782801051272]}"
199_0,1,-6.247782801051272,106.92197669232606,0.03500314181047563,9.261388180991712E-5,0.11588706606232949,7.718649340500665E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.92197669232606,-6.247782801051272]}"
200_0,1,-6.247782801051272,106.93095984516725,0.03503306442533416,9.276622493132327E-5,0.11588644050071213,1.012137857364913E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93095984516725,-6.247782801051272]}"
201_0,1,-6.247782801051272,106.93994299800845,0.03503306442533416,9.276622493132327E-5,0.11588644050071213,1.012137857364913E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93994299800845,-6.247782801051272]}"
