lat,lon,predicted_class,predicted_label
-6.202867036845296,106.85011146959648,1,MEDIUM
-6.202867036845296,106.85909462243768,1,MEDIUM
-6.202867036845296,106.86807777527888,0,GOOD
-6.202867036845296,106.87706092812007,1,MEDIUM
-6.202867036845296,106.88604408096128,1,MEDIUM
-6.202867036845296,106.89502723380248,2,UNHEALTHY
-6.202867036845296,106.90401038664366,2,UNHEALTHY
-6.202867036845296,106.91299353948486,1,MEDIUM
-6.202867036845296,106.92197669232606,1,MEDIUM
-6.202867036845296,106.93095984516724,1,MEDIUM
-6.202867036845296,106.93994299800843,1,MEDIUM
-6.202867036845296,106.94892615084964,0,GOOD
-6.202867036845296,106.95790930369084,1,MEDIUM
-6.193883884004101,106.72434732981976,2,UNHEALTHY
-6.193883884004101,106.73333048266096,1,MEDIUM
-6.193883884004101,106.74231363550214,1,MEDIUM
-6.193883884004101,106.75129678834334,1,MEDIUM
-6.193883884004101,106.76027994118454,1,MEDIUM
-6.193883884004101,106.76926309402572,1,MEDIUM
-6.193883884004101,106.77824624686691,2,UNHEALTHY
-6.193883884004101,106.78722939970812,2,UNHEALTHY
-6.193883884004101,106.79621255254932,1,MEDIUM
-6.193883884004101,106.80519570539052,1,MEDIUM
-6.193883884004101,106.81417885823171,2,UNHEALTHY
-6.193883884004101,106.82316201107292,1,MEDIUM
-6.193883884004101,106.83214516391408,1,MEDIUM
-6.193883884004101,106.84112831675527,1,MEDIUM
-6.193883884004101,106.85011146959648,1,MEDIUM
-6.193883884004101,106.85909462243768,1,MEDIUM
-6.193883884004101,106.86807777527888,1,MEDIUM
-6.193883884004101,106.87706092812007,1,MEDIUM
-6.193883884004101,106.88604408096128,1,MEDIUM
-6.193883884004101,106.89502723380248,1,MEDIUM
-6.193883884004101,106.90401038664366,1,MEDIUM
-6.193883884004101,106.91299353948486,2,UNHEALTHY
-6.193883884004101,106.92197669232606,1,MEDIUM
-6.193883884004101,106.93095984516724,1,MEDIUM
-6.193883884004101,106.93994299800843,1,MEDIUM
-6.193883884004101,106.94892615084964,1,MEDIUM
-6.193883884004101,106.95790930369084,1,MEDIUM
-6.193883884004101,106.96689245653202,1,MEDIUM
