date,station,s5p_co,s5p_no2,s5p_o3,s5p_so2
2024-04-18,bundaran hotel indonesia,0.0383386695313671,0.00026613586117613884,0.1122039356022466,-1.7e-05
2024-04-18,jagakarsa,0.0383386695313671,0.00026613586117613884,0.1127493194671565,-1.89e-05
2024-04-18,jalan bdn ii,0.0376557476189557,0.00021781294191319027,0.1117359809105624,9.854499522225972e-05
2024-04-18,kebon jeruk,0.0383386695313671,0.00026613586117613884,0.1122039356022466,-1.7e-05
2024-04-18,kelapa gading,0.0356056543499081,0.00025090243164406755,0.11261793896209,-0.000159
2024-04-18,komp angkasa pura jakarta pusat,0.0356056543499081,0.00025090243164406755,0.11261793896209,-0.000159
2024-04-18,lubang buaya,0.0324506228568838,0.000259766477682401,0.1119237187382604,-0.000276
2024-04-18,us consulate jakarta pusat,0.0356056543499081,0.00025090243164406755,0.11261793896209,-0.000294
2024-04-19,bundaran hotel indonesia,,0.00016087340438315743,0.1144932968771623,
2024-04-19,jagakarsa,,0.00016087340438315743,0.114338144269769,
2024-04-19,jalan bdn ii,,0.0001792697638478344,0.1139909368325053,
2024-04-19,kebon jeruk,,0.00016087340438315743,0.1144932968771623,
2024-04-19,kelapa gading,,0.0001232411193501023,0.114324793826394,
2024-04-19,komp angkasa pura jakarta pusat,,0.0001232411193501023,0.114324793826394,
2024-04-19,lubang buaya,,0.00014429535850028432,0.1143302875871521,
2024-04-19,us consulate jakarta pusat,,0.0001232411193501023,0.114324793826394,
2024-04-20,bundaran hotel indonesia,0.0299187936194596,0.00011578443680590402,0.1134462845228339,-0.00013
2024-04-20,jagakarsa,0.0299187936194596,0.00011578443680590402,0.113585297764946,0.00011758047540566892
2024-04-20,jalan bdn ii,0.0313498474033475,0.00010615604676190649,0.1138729350211279,-0.000164
2024-04-20,kebon jeruk,0.0299187936194596,0.00011578443680590402,0.1134462845228339,-0.00013
2024-04-20,kelapa gading,0.0304757685178953,0.00010669963596145104,0.1137521376536038,0.00025348038588649804
2024-04-20,komp angkasa pura jakarta pusat,0.0304757685178953,0.00010669963596145104,0.1137521376536038,0.00025348038588649804
2024-04-20,lubang buaya,0.0319969623988548,0.00010820113457013428,0.1133642167126938,-4.19e-05
